id_ability,name_a,region
96,normalize,4
97,sniper,4
98,magic-guard,4
99,no-guard,4
100,stall,4
101,technician,4
102,leaf-guard,4
103,klutz,4
104,mold-breaker,4
105,super-luck,4
106,aftermath,4
107,anticipation,4
108,forewarn,4
109,unaware,4
110,tinted-lens,4
111,filter,4
112,slow-start,4
113,scrappy,4
114,storm-drain,4
115,ice-body,4
116,solid-rock,4
117,snow-warning,4
118,honey-gather,4
119,frisk,4
120,reckless,4
121,multitype,4
122,flower-gift,4
123,bad-dreams,4
1,stench,3
2,drizzle,3
3,speed-boost,3
4,battle-armor,3
5,sturdy,3
6,damp,3
7,limber,3
8,sand-veil,3
9,static,3
10,volt-absorb,3
11,water-absorb,3
12,oblivious,3
13,cloud-nine,3
14,compound-eyes,3
15,insomnia,3
16,color-change,3
17,immunity,3
18,flash-fire,3
19,shield-dust,3
20,own-tempo,3
21,suction-cups,3
22,intimidate,3
23,shadow-tag,3
24,rough-skin,3
25,wonder-guard,3
26,levitate,3
27,effect-spore,3
28,synchronize,3
29,clear-body,3
30,natural-cure,3
31,lightning-rod,3
32,serene-grace,3
33,swift-swim,3
34,chlorophyll,3
35,illuminate,3
36,trace,3
37,huge-power,3
38,poison-point,3
39,inner-focus,3
40,magma-armor,3
41,water-veil,3
42,magnet-pull,3
43,soundproof,3
44,rain-dish,3
45,sand-stream,3
46,pressure,3
47,thick-fat,3
48,early-bird,3
49,flame-body,3
50,run-away,3
51,keen-eye,3
52,hyper-cutter,3
53,pickup,3
54,truant,3
55,hustle,3
56,cute-charm,3
57,plus,3
58,minus,3
59,forecast,3
60,sticky-hold,3
61,shed-skin,3
62,guts,3
63,marvel-scale,3
64,liquid-ooze,3
65,overgrow,3
66,blaze,3
67,torrent,3
68,swarm,3
69,rock-head,3
70,drought,3
71,arena-trap,3
72,vital-spirit,3
73,white-smoke,3
74,pure-power,3
75,shell-armor,3
76,air-lock,3
